Timestep,Consumption,Power
1,2.338505355,9.354021418
2,2.338656447,9.354625787
3,2.338807539,9.355230156
4,2.338883085,9.35553234
5,2.338958631,9.355834525
6,2.324400439,9.297601755
7,2.317121342,9.268485369
8,2.30256315,9.210252599
9,2.295284054,9.181136214
10,2.276614536,9.106458144
11,2.257945018,9.031780073
12,2.24861026,8.994441038
13,2.239275501,8.957102003
14,2.229702778,8.918811113
15,2.220130056,8.880520223
16,2.215343695,8.861374778
17,2.210557333,8.842229333
18,2.221155249,8.884620994
19,2.226454206,8.905816825
20,2.237052121,8.948208486
21,2.242351079,8.969404316
22,2.323576475,9.294305902
23,2.364160118,9.456640472
24,2.445327403,9.781309611
25,5.485911045,21.94364418
26,5.647669093,22.59067637
27,5.728548117,22.91419247
28,5.890306166,23.56122466
29,5.97118519,23.88474076
30,5.601816179,22.40726472
31,5.674175066,22.69670026
32,5.81889284,23.27557136
33,5.891251726,23.5650069
34,5.998392393,23.99356957
35,6.105533059,24.42213224
36,6.159103392,24.63641357
37,6.255620473,25.02248189
38,6.249499974,24.9979999
39,6.237258977,24.94903591
40,6.231138479,24.92455392
41,6.19106872,24.76427488
42,6.118579825,24.4743193
43,6.082335377,24.32934151
44,6.009846482,24.03938593
45,5.991995998,23.96798399
46,5.95629503,23.82518012
47,5.938444546,23.75377818
48,5.902743578,23.61097431
49,5.875164528,23.50065811
50,5.820006429,23.28002571
51,5.792427379,23.16970952
52,5.747611423,22.99044569
53,5.328898078,21.31559231
54,5.255377656,21.02151062
55,5.108336813,20.43334725
56,5.062386549,20.2495462
57,4.989095426,19.9563817
58,4.915804302,19.66321721
59,4.87915874,19.51663496
60,4.842513179,19.37005271
61,4.841707458,19.36682983
62,4.840901737,19.36360695
63,4.840498877,19.36199551
64,4.840096017,19.36038407
65,4.878285761,19.51314304
66,5.411467417,21.64586967
67,5.449657161,21.79862864
68,5.468752033,21.87500813
69,5.515332421,22.06132968
70,5.538622615,22.15449046
71,5.585203003,22.34081201
72,5.608493198,22.43397279
73,5.623730602,22.49492241
74,5.631349304,22.52539722
75,5.646586709,22.58634684
76,5.654205411,22.61682164
77,5.592069824,22.3682793
78,5.561031087,22.24412435
79,5.498953611,21.99581444
80,5.467914874,21.87165949
81,5.386349406,21.54539762
82,5.345566672,21.38226669
83,5.264001205,21.05600482
84,5.223218471,20.89287389
85,2.235042767,8.940171068
86,2.240954915,8.96381966
87,2.252779211,9.011116843
88,2.258691358,9.034765434
89,2.270515654,9.082062617
90,2.276427802,9.105711208
91,2.288252098,9.153008391
92,2.294164246,9.176656982
93,2.305988541,9.223954165
94,2.311900689,9.247602757
95,2.323724985,9.29489994
96,2.329637133,9.318548531
97,2.338505355,9.354021418
98,2.338656447,9.354625787
99,2.338807539,9.355230156
100,2.338883085,9.35553234
101,2.338958631,9.355834525
102,2.324400439,9.297601755
103,2.317121342,9.268485369
104,2.30256315,9.210252599
105,2.295284054,9.181136214
106,2.276614536,9.106458144
107,2.257945018,9.031780073
108,2.24861026,8.994441038
109,2.239275501,8.957102003
110,2.229702778,8.918811113
111,2.220130056,8.880520223
112,2.215343695,8.861374778
113,2.210557333,8.842229333
114,2.221155249,8.884620994
115,2.226454206,8.905816825
116,2.237052121,8.948208486
117,2.242351079,8.969404316
118,2.323576475,9.294305902
119,2.364160118,9.456640472
120,2.445327403,9.781309611
121,5.485911045,21.94364418
122,5.647669093,22.59067637
123,5.728548117,22.91419247
124,5.890306166,23.56122466
125,5.97118519,23.88474076
126,5.601816179,22.40726472
127,5.674175066,22.69670026
128,5.81889284,23.27557136
129,5.891251726,23.5650069
130,5.998392393,23.99356957
131,6.105533059,24.42213224
132,6.159103392,24.63641357
133,6.255620473,25.02248189
134,6.249499974,24.9979999
