Timestep,Consumption,Electric_Power_kw
1,1.816830402,7.267321607
2,1.838936778,7.355747112
3,1.88314953,7.53259812
4,1.726416277,6.905665107
5,1.727031631,6.908126525
6,1.727339309,6.909357235
7,1.727954663,6.911818653
8,1.72826234,6.913049362
9,1.713308962,6.853235849
10,2.097396623,8.389586492
11,1.690878895,6.76351558
12,1.683402206,6.733608824
13,1.659501028,6.638004112
14,2.00637372,8.025494881
15,1.623769104,6.495076416
16,1.611858463,6.44743385
17,1.600795477,6.403181907
18,1.595263984,6.381055935
19,1.584200998,6.336803991
20,1.578669505,6.31467802
21,1.598438643,6.393754574
22,1.608323213,6.433292851
23,1.628092351,6.512369405
24,1.637976921,6.551907682
25,4.750065363,19.00026145
26,4.806069637,19.22427855
27,4.918078185,19.67231274
28,4.974082459,19.89632984
29,5.222148341,20.88859336
30,4.870875473,19.48350189
31,5.118941355,20.47576542
32,5.242974296,20.97189718
33,5.450894393,21.80357757
34,5.658814491,22.63525796
35,5.76277454,23.05109816
36,5.866734588,23.46693835
37,5.996505793,23.98602317
38,6.126276998,24.50510799
39,6.1911626,24.7646504
40,6.256048203,25.02419281
41,6.264128514,25.05651406
42,6.272208826,25.0888353
43,6.276248982,25.10499593
44,6.284329293,25.13731717
45,6.288369449,25.1534778
46,6.296449761,25.18579904
47,6.300489916,25.20195967
48,6.308570228,25.23428091
49,6.312610384,25.25044154
50,6.320690695,25.28276278
51,6.324730851,25.2989234
52,6.332811163,25.33124465
53,6.336851319,25.34740527
54,6.340891474,25.3635659
55,6.32218766,25.28875064
56,6.303483846,25.21393538
57,6.294131939,25.17652776
58,6.284780032,25.13912013
59,6.191242597,24.76497039
60,6.097705162,24.39082065
61,6.050936445,24.20374578
62,6.004167727,24.01667091
63,5.965956353,23.86382541
64,5.927744978,23.71097991
65,5.908639291,23.63455716
66,6.364839412,25.45935765
67,6.299501881,25.19800752
68,6.266833115,25.06733246
69,6.201495584,24.80598233
70,6.168826818,24.67530727
71,6.1328552,24.5314208
72,6.114869391,24.45947756
73,6.078897772,24.31559109
74,6.060911963,24.24364785
75,6.024940345,24.09976138
76,6.006954536,24.02781814
77,5.970982917,23.88393167
78,5.952997108,23.81198843
79,5.91702549,23.66810196
80,5.899039681,23.59615872
81,5.863068063,23.45227225
82,5.845082253,23.38032901
83,5.809110635,23.23644254
84,5.791124826,23.1644993
85,2.572620508,10.29048203
86,2.46336835,9.853473398
87,2.244864032,8.979456128
88,2.135611873,8.542447492
89,2.022650044,8.090600175
90,1.966169129,7.864676516
91,1.8532073,7.412829198
92,1.796726385,7.18690554
93,1.78869014,7.154760559
94,1.784672017,7.138688069
95,1.776635772,7.106543089
96,1.77261765,7.090470599
97,1.816830402,7.267321607
98,1.838936778,7.355747112
99,1.88314953,7.53259812
100,1.726416277,6.905665107
101,1.727031631,6.908126525
102,1.727339309,6.909357235
103,1.727954663,6.911818653
104,1.72826234,6.913049362
105,1.713308962,6.853235849
106,2.097396623,8.389586492
107,1.690878895,6.76351558
108,1.683402206,6.733608824
109,1.659501028,6.638004112
110,2.00637372,8.025494881
111,1.623769104,6.495076416
112,1.611858463,6.44743385
113,1.600795477,6.403181907
114,1.595263984,6.381055935
115,1.584200998,6.336803991
116,1.578669505,6.31467802
117,1.598438643,6.393754574
118,1.608323213,6.433292851
119,1.628092351,6.512369405
120,1.637976921,6.551907682
121,4.750065363,19.00026145
122,4.806069637,19.22427855
123,4.918078185,19.67231274
124,4.974082459,19.89632984
125,5.222148341,20.88859336
126,4.870875473,19.48350189
127,5.118941355,20.47576542
128,5.242974296,20.97189718
129,5.450894393,21.80357757
130,5.658814491,22.63525796
131,5.76277454,23.05109816
132,5.866734588,23.46693835
133,5.996505793,23.98602317
134,6.126276998,24.50510799
135,6.1911626,24.7646504
136,6.256048203,25.02419281
137,6.264128514,25.05651406
138,6.272208826,25.0888353
139,6.276248982,25.10499593
140,6.284329293,25.13731717
141,6.288369449,25.1534778
142,6.296449761,25.18579904
143,6.300489916,25.20195967
144,6.308570228,25.23428091
145,6.312610384,25.25044154
146,6.320690695,25.28276278
147,6.324730851,25.2989234
148,6.332811163,25.33124465
149,6.336851319,25.34740527
150,6.340891474,25.3635659
151,6.32218766,25.28875064
152,6.303483846,25.21393538
153,6.294131939,25.17652776
154,6.284780032,25.13912013
155,6.191242597,24.76497039
156,6.097705162,24.39082065
157,6.050936445,24.20374578
158,6.004167727,24.01667091
159,5.965956353,23.86382541
160,5.927744978,23.71097991
161,5.908639291,23.63455716
162,6.364839412,25.45935765
163,6.299501881,25.19800752
164,6.266833115,25.06733246
165,6.201495584,24.80598233
166,6.168826818,24.67530727
167,6.1328552,24.5314208
168,6.114869391,24.45947756
169,6.078897772,24.31559109
170,6.060911963,24.24364785
171,6.024940345,24.09976138
172,6.006954536,24.02781814
173,5.970982917,23.88393167
174,5.952997108,23.81198843
175,5.91702549,23.66810196
176,5.899039681,23.59615872
177,5.863068063,23.45227225
178,5.845082253,23.38032901
179,5.809110635,23.23644254
180,5.791124826,23.1644993
181,2.572620508,10.29048203
182,2.46336835,9.853473398
183,2.244864032,8.979456128
184,2.135611873,8.542447492
185,2.022650044,8.090600175
186,1.966169129,7.864676516
187,1.8532073,7.412829198
188,1.796726385,7.18690554
189,1.78869014,7.154760559
190,1.784672017,7.138688069
191,1.776635772,7.106543089
192,1.77261765,7.090470599
193,1.816830402,7.267321607
194,1.838936778,7.355747112
195,1.88314953,7.53259812
196,1.726416277,6.905665107
197,1.727031631,6.908126525
198,1.727339309,6.909357235
